Run_id, Final 10.0% episodes extrinsic score
run_12, 98.08163265306122
run_8, 92.57575757575758
run_14, 32.28217821782178
run_22, 24.68
run_23, 22.650943396226417
run_4, 22.126074498567334
run_0, 22.126074498567334
run_11, 18.204444444444444
run_7, 15.659574468085106
run_3, 15.659574468085106
run_6, 15.311881188118813
run_2, 15.311881188118813
run_15, 14.76086956521739
run_19, 14.016556291390728
run_16, 13.781931464174455
run_13, 12.184905660377359
run_18, 12.176724137931034
run_9, 11.893939393939394
run_20, 11.563829787234043
run_21, 11.2319391634981
run_17, 10.789655172413793
run_10, 10.068273092369479
run_5, 9.301075268817204
run_1, 9.301075268817204
