Run_id, Final 10.0% episodes extrinsic score
run_91, -102.3460593040305
run_67, -102.3460593040305
run_126, -106.60366054570414
run_116, -127.07687426633804
run_49, -127.28901656776384
run_32, -128.61229763351693
run_8, -128.61229763351693
run_40, -137.65193081701833
run_16, -137.65193081701833
run_131, -138.11128811105704
run_107, -138.11128811105704
run_54, -147.10755260741524
run_86, -147.86671293328038
run_140, -151.406343746717
run_143, -155.4751677629073
run_41, -162.65484143494425
run_17, -162.65484143494425
run_101, -167.3796314893575
run_92, -169.00130799926282
run_42, -172.62766746119905
run_18, -172.62766746119905
run_73, -179.07914863223328
run_120, -186.34806612041785
run_27, -187.73395669276223
run_3, -187.73395669276223
run_109, -188.42502343160876
run_135, -193.53760099392872
run_31, -194.9852269218559
run_7, -194.9852269218559
run_77, -198.85406770860138
run_61, -204.99652806266286
run_95, -207.38313132914095
run_142, -209.51140869437677
run_69, -215.72733491847126
run_62, -216.19349036872052
run_87, -217.14651296256173
run_118, -217.67721144790895
run_66, -233.8883868499603
run_81, -235.70300972417937
run_96, -241.32844305701875
run_117, -243.5140249446713
run_94, -245.15709944406234
run_90, -246.51541491968985
run_45, -255.30295172410644
run_21, -255.30295172410644
run_70, -257.2102838509781
run_93, -258.66822462895357
run_28, -260.2442183802071
run_4, -260.2442183802071
run_84, -263.1477581271365
run_111, -274.0572581771019
run_79, -278.57779277402665
run_127, -278.58426904959316
run_53, -283.0420484897278
run_85, -283.96649084287833
run_103, -286.20873600685877
run_97, -290.8949905360313
run_68, -292.1023830778741
run_124, -296.08048128694435
run_57, -296.5167899904744
run_37, -297.7985318533452
run_13, -297.7985318533452
run_30, -303.781189678181
run_6, -303.781189678181
run_78, -309.61907017358055
run_29, -313.3468761072382
run_5, -313.3468761072382
run_55, -313.7906466972333
run_63, -316.6236950711703
run_134, -325.1143638469205
run_100, -326.66914121407274
run_89, -327.7254587831325
run_58, -332.9308095724937
run_39, -340.3720449597568
run_15, -340.3720449597568
run_125, -343.5276853973753
run_113, -345.7391971995819
run_52, -353.95465665961274
run_38, -361.54986632767674
run_14, -361.54986632767674
run_119, -372.9580234914533
run_88, -373.49690340489957
run_64, -373.49690340489957
run_83, -390.7327079447634
run_34, -391.9905488779049
run_10, -391.9905488779049
run_102, -405.3973878858445
run_141, -407.0752717897183
run_60, -408.5483596159793
run_110, -409.0702461067475
run_44, -409.41012376421014
run_20, -409.41012376421014
run_71, -412.7968825150294
run_47, -418.3707191875065
run_23, -418.3707191875065
run_48, -419.14652564903827
run_65, -423.73972625950915
run_112, -431.1882645565896
run_121, -431.4676953769865
run_133, -437.95377819193646
run_132, -454.637855971939
run_72, -473.53750885513284
run_82, -474.1086713887326
run_75, -476.7488733114251
run_108, -477.87820726507584
run_26, -491.24783547544513
run_2, -491.24783547544513
run_76, -493.13707437932567
run_25, -499.962710056832
run_1, -499.962710056832
run_137, -513.7401759543304
run_36, -552.7927579704507
run_12, -552.7927579704507
run_51, -559.3399878926645
run_122, -575.3178267791625
run_98, -575.3178267791625
run_128, -582.9246614806776
run_104, -582.9246614806776
run_24, -582.9246614806776
run_0, -582.9246614806776
run_114, -583.0014530165582
run_129, -597.4890700218546
run_105, -597.4890700218546
run_136, -607.469194460872
run_130, -613.1239282336427
run_106, -613.1239282336427
run_59, -622.2355766076473
run_43, -624.1446152955751
run_19, -624.1446152955751
run_138, -626.516611753601
run_74, -631.0675302472157
run_50, -631.0675302472157
run_35, -644.961573520919
run_11, -644.961573520919
run_80, -667.3099466062138
run_56, -667.3099466062138
run_46, -670.6355073715215
run_22, -670.6355073715215
run_123, -688.4816460463729
run_99, -688.4816460463729
run_139, -802.045571702893
run_115, -802.045571702893
run_33, -969.9340204197425
run_9, -969.9340204197425
