Run_id, Final 10.0% episodes extrinsic score
run_16, 79.41095890410959
run_12, 78.83516483516483
run_8, 78.83516483516483
run_4, 47.458333333333336
run_0, 47.458333333333336
run_17, 41.14351851851852
run_21, 34.24107142857143
run_7, 28.47
run_3, 28.47
run_11, 25.065420560747665
run_18, 20.83682008368201
run_14, 19.590308370044053
run_15, 19.467741935483872
run_10, 18.78021978021978
run_6, 18.337899543378995
run_2, 18.337899543378995
run_19, 16.460176991150444
run_22, 11.275471698113208
run_20, 10.619047619047619
run_23, 9.769444444444444
run_13, 9.468152866242038
run_9, 9.468152866242038
run_5, 9.361031518624642
run_1, 9.361031518624642
