Run_id, Final 10.0% episodes extrinsic score
run_82, 83.93103448275862
run_58, 83.93103448275862
run_83, 62.45161290322581
run_59, 62.45161290322581
run_130, 45.74193548387097
run_106, 45.74193548387097
run_129, 44.029411764705884
run_105, 44.029411764705884
run_102, 35.869565217391305
run_133, 32.3235294117647
run_77, 28.272727272727273
run_34, 28.130434782608695
run_10, 28.130434782608695
run_39, 27.64814814814815
run_15, 27.64814814814815
run_53, 26.727272727272727
run_94, 26.520833333333332
run_78, 26.01818181818182
run_79, 25.903846153846153
run_35, 25.846153846153847
run_11, 25.846153846153847
run_116, 23.72340425531915
run_95, 22.891304347826086
run_85, 22.367346938775512
run_61, 22.367346938775512
run_60, 22.214285714285715
run_139, 21.84313725490196
run_115, 21.84313725490196
run_29, 21.791666666666668
run_5, 21.791666666666668
run_100, 21.147540983606557
run_121, 20.88095238095238
run_119, 20.695652173913043
run_143, 20.565217391304348
run_87, 20.0
run_43, 19.945454545454545
run_19, 19.945454545454545
run_103, 19.92156862745098
run_127, 19.865384615384617
run_52, 19.596774193548388
run_140, 19.313725490196077
run_45, 18.826923076923077
run_21, 18.826923076923077
run_41, 18.46551724137931
run_17, 18.46551724137931
run_76, 18.383333333333333
run_92, 18.26
run_81, 18.25
run_57, 18.25
run_108, 18.19607843137255
run_142, 18.102040816326532
run_86, 17.738095238095237
run_70, 17.306122448979593
run_110, 16.8
run_93, 16.728813559322035
run_141, 16.5
run_117, 16.5
run_69, 16.5
run_125, 16.24074074074074
run_101, 16.24074074074074
run_54, 16.0
run_44, 15.95945945945946
run_20, 15.95945945945946
run_96, 15.947368421052632
run_132, 15.807692307692308
run_36, 15.706896551724139
run_12, 15.706896551724139
run_109, 15.673076923076923
run_68, 15.568627450980392
run_37, 15.454545454545455
run_13, 15.454545454545455
run_123, 15.415094339622641
run_99, 15.415094339622641
run_137, 15.35
run_28, 15.298507462686567
run_4, 15.298507462686567
run_124, 15.290909090909091
run_75, 15.26
run_51, 15.26
run_63, 15.054545454545455
run_46, 14.9375
run_22, 14.9375
run_71, 14.903846153846153
run_131, 14.533333333333333
run_128, 14.533333333333333
run_107, 14.533333333333333
run_104, 14.533333333333333
run_118, 14.454545454545455
run_30, 14.075757575757576
run_6, 14.075757575757576
run_84, 13.815384615384616
run_134, 13.78688524590164
run_135, 13.446153846153846
run_113, 13.159090909090908
run_120, 13.151898734177216
run_62, 12.839285714285714
run_111, 12.823529411764707
run_136, 12.679487179487179
run_97, 12.604166666666666
run_40, 11.793650793650794
run_16, 11.793650793650794
run_112, 11.282051282051283
run_38, 10.794117647058824
run_14, 10.794117647058824
run_55, 10.619047619047619
run_126, 10.561643835616438
run_33, 10.012658227848101
run_9, 10.012658227848101
run_66, 9.94
run_25, 9.891566265060241
run_1, 9.891566265060241
run_31, 9.875
run_7, 9.875
run_90, 9.85
run_73, 9.820224719101123
run_49, 9.820224719101123
run_47, 9.735632183908047
run_23, 9.735632183908047
run_114, 9.69767441860465
run_138, 9.651162790697674
run_27, 9.604395604395604
run_3, 9.604395604395604
run_122, 9.48936170212766
run_98, 9.48936170212766
run_74, 9.484536082474227
run_50, 9.474226804123711
run_72, 9.450980392156863
run_48, 9.450980392156863
run_67, 9.445945945945946
run_89, 9.444444444444445
run_65, 9.444444444444445
run_88, 9.428571428571429
run_64, 9.428571428571429
run_24, 9.402173913043478
run_0, 9.402173913043478
run_91, 9.373333333333333
run_32, 9.347826086956522
run_8, 9.347826086956522
run_80, 9.23
run_56, 9.23
run_42, 9.192307692307692
run_18, 9.192307692307692
run_26, 9.182692307692308
run_2, 9.182692307692308
